video_id,video_title,segment_title,start_at,end_at,segment_content,view_count,like_count,comment_count,video_duration_seconds,video_duration,likes_per_1000_views,comments_per_1000_views,published_at,publication_date,segment_id,tone,feedback_type,topic_category,is_teaching,language_level,confidence,keywords
_fJvlH2T5fU,"Umgangssprache: 9 wichtige Ausdrücke (Deutsch B2, C1)",Intro,0,15.0,ihr habt bestimmt schon gemerkt dass deutsche mutterspracher im Alltag nicht so sprechen wie im Lehrbuch im Deutschunterricht wir verwenden viele umgangssprachliche Ausdrücke heute stelle ich euch neun davon vor viel Spaß,32085,2301,96,620,0:10:20,71.72,2.99,2025-03-02 11:00:45+00:00,2025-03-02,8691fda0,conversational,instruction,expressions,True,B2,high,"[""Umgangssprache"", ""Ausdr\u00fccke"", ""Alltag"", ""Lehrbuch""]"
_fJvlH2T5fU,"Umgangssprache: 9 wichtige Ausdrücke (Deutsch B2, C1)",auf Teufel komm raus,15,63.0,er will auf Teufel komm raus Profifußballer werden deshalb trainiert er jeden Tag mehrere Stunden auf Teufel komm raus bedeutet so viel wie mit aller Kraft um jeden Preis oder bedingt er will auf jeden Fall Profifußballer werden er tut alles dafür egal welche Konsequenzen das hat der Ausdruck kann manchmal auch eine etwas andere Bedeutung haben hier z.B mein Bruder arbeitet auf Teufel komm raus weil er unbedingt Karriere machen will hier bedeutet der Ausdruck er solange oder so intensiv wie möglich er arbeitet sehr viel und lange weil er in seinem Job erfolgreich sein will der Film fängt in 10 Minuten an leg,32085,2301,96,620,0:10:20,71.72,2.99,2025-03-02 11:00:45+00:00,2025-03-02,acbc5e69,didactic,vocabulary_definition,expressions,True,B2,high,"[""auf Teufel komm raus"", ""expression"", ""intensity"", ""determination""]"
_fJvlH2T5fU,"Umgangssprache: 9 wichtige Ausdrücke (Deutsch B2, C1)",einen Zahn zulegen,63,109.0,mal einen Zahn zu sonst kommen wir zu spät einen Zahn zulegen bedeutet sich schneller bewegen schneller fahren oder auch sich beeilen hier im Beispiel sitzen wir vielleicht im Auto und ich sage hey fahr mal ein bisschen schneller sonst kommen wir zu spät am Kino an noch ein Beispiel ich habe dem Handwerker gesagt dass er mal einen Zahn zulegen soll sonst wird die Küche ja nie fertig der Handwerker soll sich also beeilen oder der Kellner ist ja langsam heute der könnte echt mal einen Zahn zulegen der Kellner soll also meiner Meinung nach etwas schneller arbeiten ich checke einfach nicht wie,32085,2301,96,620,0:10:20,71.72,2.99,2025-03-02 11:00:45+00:00,2025-03-02,ad7b24c1,conversational,example,expressions,True,B2,high,"[""Zahn zulegen"", ""sich beeilen"", ""schneller bewegen""]"
_fJvlH2T5fU,"Umgangssprache: 9 wichtige Ausdrücke (Deutsch B2, C1)",checken,109,153.0,man diese Aufgabe lösen soll kannst du es mir erklären etwas checken ist umgangssprachlich für etwas verstehen oder etwas begreifen im englischen bedeutet to check ja etwas überprüfen diese Bedeutung hat checken im Deutschen auch aber es hat eben auch andere Bedeutungen wie hier ich habe die Aufgabe nicht verstanden erklärst du sie mir bitte noch ein Beispiel ich habe erst nach 10 Minuten gecheckt dass ich im falschen Bus saß ich saß also 5 Minuten im Bus und habe erst dann gemerkt oder verstanden dass ich im falschen Bus sitze er ist in die falsche Richtung,32085,2301,96,620,0:10:20,71.72,2.99,2025-03-02 11:00:45+00:00,2025-03-02,ec08bed3,conversational,vocabulary_definition,expressions,True,B2,high,"[""checken"", ""umgangssprachlich"", ""verstehen"", ""beispiel""]"
_fJvlH2T5fU,"Umgangssprache: 9 wichtige Ausdrücke (Deutsch B2, C1)",Arsch auf Grundeis,153,273.0,gefahren als nächstes schauen wir uns einen etwas derberen Ausdruck an als der Chef mich in sein Büro rief und dabei so böse guckte ging mir echt der Arsch auf Grundeis ich dachte ich werde gekündigt wenn jemandem der Arsch auf Grundeis geht dann hat jemand plötzlich große Angst in der einen Situation ist noch alles okay aber dann passiert plötzlich etwas und man denkt oh verdammt was ist denn jetzt los hier ist noch ein Beispiel gestern bekam ich eine E-Mail von meinem Arzt darin stand dass ich mich wegen meiner Blutwerte schnellst möglich bei ihm melden soll da ging mir der Arsch auf Grundeis letztlich waren die Ergebnisse aber doch nicht so schlimm ich habe nur starken Eisenmangel ich hatte also wegen dieser dringenden E-Mail von meinem Arzt große Angst dass ich eine schlimme Krankheit habe der Arsch das ist ein prachliches Wort für das Gesäß also für den Körperteil auf dem man sitzt und dieses Wort kann man in der etwas derberen deutschen Umgangssprache ziemlich oft hören als Beleidigung z.B oder eben in ausdrücken wie diesem hier und was ist Grundeis wenn es sehr kalt ist dann bildet sich am Boden von Seen eine Schicht Eis und wenn es wärmer wird löst sich dieser Eisschicht und taucht auf das kann recht laut sein in diesem Ausdruck werden diese lauten Geräusche mit den Geräuschen verglichen die der Bauch macht wenn man Bauchschmerzen hat und Bauchschmerzen hat man ja häufig wenn man Angst hat wenn euch dieses Video gefällt dann vergesst nicht ihm einen Daumen nach oben zu geben damit unterstützt ihr mich sehr und wenn ihr mehr über umgangssprachliche Ausdrücke im deutschen lernen möchtet dann schaut euch mal meine Playlist zu diesem Thema an die verlinke ich euch hier jetzt aber los wir sind schon 5,32085,2301,96,620,0:10:20,71.72,2.99,2025-03-02 11:00:45+00:00,2025-03-02,d8056961,didactic,explanation,expressions,True,B2,high,"[""Umgangssprache"", ""Ausdruck"", ""Arsch auf Grundeis"", ""Angst"", ""derb""]"
_fJvlH2T5fU,"Umgangssprache: 9 wichtige Ausdrücke (Deutsch B2, C1)",Jetzt aber!,273,347.0,Minuten zu spät jetzt aber ist ein häufiger Ausdruck in der deutschen Umgangssprache man sagt das oft wenn man jemanden auffordern will etwas endlich zu tun oder endlich mit etwas anzufangen hier im Beispiel sage ich jetzt müssen wir endlich losgehen oder losfahren wir sind schon zu spät oder stellt euch vor es ist Montagmittag ihr macht gerade Mittagspause und hättet eigentlich schon vor 10 Minuten wieder anfangen müssen zu arbeiten ihr habt keine Lust aber dann motiviert ihr euch endlich aufzustehen und wieder an die Arbeit zu gehen das wäre eine typische Situation um zu sagen so jetzt aber wieder ran an die Arbeit jetzt aber sagt man auch wenn man etwas schon mehrmals ohne Erfolg versucht hat und es dann noch einmal versucht ein Beisel ich versuche fünf Mal ein Basketball in den Korb zu werfen und es klappt nicht beim nächsten Versuch konzentriere ich mich noch mal richtig und sage jetzt aber also so jetzt schaffe ich es jetzt versuche ich es noch einmal richtig lasst uns noch einen weiteren,32085,2301,96,620,0:10:20,71.72,2.99,2025-03-02 11:00:45+00:00,2025-03-02,33032537,conversational,explanation,expressions,True,B2,high,"[""Umgangssprache"", ""Ausdruck"", ""jetzt aber"", ""Motivation"", ""Versuch""]"
_fJvlH2T5fU,"Umgangssprache: 9 wichtige Ausdrücke (Deutsch B2, C1)",Arschkarte,347,442.0,Ausdruck mit Arsch anschauen nämlich die Arschkarte ziehen während an diesem Wochenende alle frei haben muss ich arbeiten ich habe mal wieder die Arschkarte gezogen wenn man die Arschkarte zieht hat man Pech oder man wird benachteiligt oder man muss eine besonders unangenehme Aufgabe übernehmen hier im Beispiel habe ich den Nachteil dass ich arbeiten muss alle anderen haben frei oder unsere Lehrerin hat zufällig einen Schüler ausgewählt der seine Hausaufgaben laut vorlesen musste ja und wer hat die Arschkarte gezogen ich natürlich also ich musste diese unangenehme Aufgabe übernehmen und alle anderen hatten Glück vielleicht fragt ihr euch woher dieser Ausdruck kommt was ist eine Arschkarte wahrscheinlich liegt der Ursprung dieses Ausdrucks im Fußball früher haben Schiedsrichter im Fußball die rote Karte in ihrer Hosentasche getragen die rote Karte ist die schlimmste Strafe im Fußball das war dann also sozusagen die Arschkarte diese Ausdrücke mit Arsch sind wie gesagt etwas derber die sollte man nur in sehr informellen Situationen benutzen wenn man mit Freunden spricht z.B falls es euch interessiert dass ich mal ein Video über andere derbe Ausdrücke oder Schimpfwörter auf Deutsch mache schreibt mir gerne mal einen Kommentar dieser Film ist einfach nur,32085,2301,96,620,0:10:20,71.72,2.99,2025-03-02 11:00:45+00:00,2025-03-02,d12e87a0,conversational,explanation,expressions,True,B2,high,"[""Arschkarte"", ""Ausdruck"", ""informell"", ""Fu\u00dfball"", ""umgangssprachlich""]"
_fJvlH2T5fU,"Umgangssprache: 9 wichtige Ausdrücke (Deutsch B2, C1)",zum Schreien,442,466.0,zum Schreien den musst du dir unbedingt mal anschauen wenn etwas zum schreien ist dann ist es sehr sehr lustig man muss sehr darüber lachen noch ein Beispiel die Kommentare unter diesem Video sind zum Schreien manche Leute sind so kreativ die Kommentare sind also sehr lustig wenn euch meine Arbeit hier auf,32085,2301,96,620,0:10:20,71.72,2.99,2025-03-02 11:00:45+00:00,2025-03-02,366de539,humorous,example,expressions,True,B2,high,"[""zum Schreien"", ""lustig"", ""Kommentare"", ""kreativ""]"
_fJvlH2T5fU,"Umgangssprache: 9 wichtige Ausdrücke (Deutsch B2, C1)",Extras für Mitglieder,466,487.0,Youtube gefällt dann freue ich mich wenn ihr mich als Mitglieder unterstützt dafür bekommt ihr auch was nämlich zu all meinen Videos Übungsfragen die Skripte die Audio Dateien und Zugang zum Mitgliederbereich mehr Informationen zur Mitgliedschaft findet ihr unten in der Videobeschreibung wenn du all deine,32085,2301,96,620,0:10:20,71.72,2.99,2025-03-02 11:00:45+00:00,2025-03-02,07e8bf2c,conversational,instruction,insufficient_data,False,insufficient_data,medium,"[""Mitglieder"", ""Unterst\u00fctzung"", ""Videos"", ""\u00dcbungsfragen"", ""Skripte"", ""Audio Dateien"", ""Mitgliederbereich""]"
_fJvlH2T5fU,"Umgangssprache: 9 wichtige Ausdrücke (Deutsch B2, C1)",larifari,487,552.0,Aufgaben nur so Larifari erledigst wirst du bald deinen Job verlieren das Adjektiv Larifari bedeutet so viel wie oberflächlich nachlässig oder nicht sorgfältig wenn man etwas macht und sich dabei nicht anstrengt und sich keine Mühe gibt dann macht man es larari noch ein Beispiel ist er macht seine Hausaufgaben immer nur larari er gibt sich also keine Mühe bei seinen Hausaufgaben es gibt das larari auch als Substantiv dann bedeutet es viel wie Unsinn was hat der Chef heute in der Besprechung erzählt ach nur irgendein larari über die Zukunft derma nichts Interessantes der Chef hat also nichts wirklich Wichtiges oder nützliches gesagt achtung es ist nicht sehr nett wenn man sagt dass jemand nur Larifari erzählt mein Chef hat mich vor allen,32085,2301,96,620,0:10:20,71.72,2.99,2025-03-02 11:00:45+00:00,2025-03-02,7782b35f,didactic,vocabulary_definition,vocabulary,True,B2,high,"[""Larifari"", ""oberfl\u00e4chlich"", ""nachl\u00e4ssig"", ""Unsinn""]"
